Y,X,SAMPLEID,SAMPLETYPE,WAMEX_A_NO,OBJECTID_x,Ag_ppm,Al_ppm,Al2O3_pct,As_ppm,Au_ppm,B_ppm,Ba_ppm,BaO_ppm,Be_ppm,Bi_ppm,Br_ppm,C_ppm,Ca_ppm,CaO_pct,Cd_ppm,Ce_ppm,CeO2_ppm,Cl_ppm,Co_ppm,CO2_pct,Cr_ppm,Cr2O3_ppm,Cs_ppm,Cs2O_ppm,Cu_ppm,Dy_ppm,Dy2O3_ppm,Er_ppm,Er2O3_ppm,Eu_ppm,Eu2O3_ppm,F_ppm,Fe_ppm,Fe2O3_pct,Fe2O3T_pct,FeO_pct,Ga_ppm,Ga2O3_ppm,Gd_ppm,Gd2O3_ppm,Ge_ppm,OBJECTID_y,H2Oneg_pct,H2Opos_pct,Hf_ppm,Hg_ppm,Ho_ppm,Ho2O3_ppm,I_ppm,In_ppm,Ir_ppb,K_ppm,K2O_pct,La_ppm,La2O3_ppm,LABnegNR_N,Li_ppm,Li2O_ppm,LOI_pct,Lu_ppm,Lu2O3_ppm,Mg_ppm,MgO_pct,Mn_ppm,MnO_pct,Mo_ppm,Na_ppm,Na2O_pct,Nb_ppm,Nb2O5_ppm,Nd_ppm,Nd2O3_ppm,Ni_ppm,Os_ppb,P_ppm,P2O5_pct,Pb_ppm,Pd_ppb,Pr_ppm,Pr2O3_ppm,Pt_ppb,Rb_ppm,Rb2O_ppm,OBJECTID,Re_ppm,Rh_ppb,Ru_ppb,S_pct,Sb_ppm,Sb2O5_ppm,Sc_ppm,Se_ppm,Si_ppm,SiO2_pct,Sm_ppm,Sm2O3_ppm,Sn_ppm,SO3_pct,Sr_ppm,SrO_ppm,Ta_ppm,Ta2O5_ppm,Tb_ppm,Tb2O3_ppm,Te_ppm,Th_ppm,ThO2_ppm,Ti_ppm,TiO2_pct,Tl_ppm,Tm_ppm,Tm2O3_ppm,U_ppm,U3O8_ppm,V_ppm,V2O5_ppm,W_ppm,WO3_ppm,Y_ppm,Y2O3_ppm,Yb_ppm,Yb2O3_ppm,Zn_ppm,ZnO_ppm,Zr_ppm,ZrO2_ppm
-31.651843304596,119.562366396663,3651357,SOIL,82539,1539644,0.00206,-9999,-9999,-9999.0,0.00103,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0706,-9999,-9999,-9999,-9999,-9999,1.1700001,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539644,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.41503003,-9999.0,-9999.0,-9999.0,0.21000001,4.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539644,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.11000001,0.1369280124479999,-9999.0,-9999.0
-31.651843304596,119.562366396663,3975807,SOIL,84462,1683481,0.00206,-9999,-9999,-9999.0,0.00103,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0706,-9999,-9999,-9999,-9999,-9999,1.1700001,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683481,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.41503003,-9999.0,-9999.0,-9999.0,0.21000001,4.8,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683481,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.11000001,0.1369280124479999,-9999.0,-9999.0
-31.6518333056218,119.562893396231,3651358,SOIL,82539,1539645,0.0006600001,-9999,-9999,-9999.0,0.00691,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0259,-9999,-9999,-9999,-9999,-9999,2.5100002,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539645,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.27436,-9999.0,-9999.0,-9999.0,0.1,19.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539645,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.05,0.06224,-9999.0,-9999.0
-31.6518333056218,119.562893396231,3975808,SOIL,84462,1683482,0.0006600001,-9999,-9999,-9999.0,0.00691,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0259,-9999,-9999,-9999,-9999,-9999,2.5100002,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683482,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.27436,-9999.0,-9999.0,-9999.0,0.1,19.2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683482,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.05,0.06224,-9999.0,-9999.0
-31.6518223066481,119.563420395803,3651359,SOIL,82539,1539646,0.0039700004,-9999,-9999,-9999.0,0.01475,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0498,-9999,-9999,-9999,-9999,-9999,1.94,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539646,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.99000007,-9999.0,-9999.0,-9999.0,0.26000002,13.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539646,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.15,0.1867199999999999,-9999.0,-9999.0
-31.6518223066481,119.563420395803,3975809,SOIL,84462,1683483,0.0039700004,-9999,-9999,-9999.0,0.01475,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0498,-9999,-9999,-9999,-9999,-9999,1.94,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683483,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.99000007,-9999.0,-9999.0,-9999.0,0.26000002,13.3,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683483,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.15,0.1867199999999999,-9999.0,-9999.0
-31.6518123076721,119.563946395372,3651360,SOIL,82539,1539647,0.0039700004,-9999,-9999,-9999.0,0.00227,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.19100001,-9999,-9999,-9999,-9999,-9999,1.32,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539647,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.40928003,-9999.0,-9999.0,-9999.0,0.020000001,8.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539647,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.34,0.423232,-9999.0,-9999.0
-31.6518123076721,119.563946395372,3975810,SOIL,84462,1683484,0.0039700004,-9999,-9999,-9999.0,0.00227,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.19100001,-9999,-9999,-9999,-9999,-9999,1.32,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683484,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.40928003,-9999.0,-9999.0,-9999.0,0.020000001,8.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683484,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.34,0.423232,-9999.0,-9999.0
-31.6518013086987,119.564473394944,3651361,SOIL,82539,1539648,0.00181,-9999,-9999,-9999.0,0.00245,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.21900001,-9999,-9999,-9999,-9999,-9999,2.15,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539648,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.814,-9999.0,-9999.0,-9999.0,0.120000005,8.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1539648,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.080000006,0.0995840074687999,-9999.0,-9999.0
-31.6518013086987,119.564473394944,3975811,SOIL,84462,1683485,0.00181,-9999,-9999,-9999.0,0.00245,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.21900001,-9999,-9999,-9999,-9999,-9999,2.15,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683485,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.814,-9999.0,-9999.0,-9999.0,0.120000005,8.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1683485,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.080000006,0.0995840074687999,-9999.0,-9999.0
