X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Au_SITES
120.097712179499,-33.5551964220193,S0015735,Ballarat (74),Ballarat,"Au, Cu",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015735,2021/03/15,Au Mine
120.102412174876,-33.5515954223085,S0015741,Birthday (74),Birthday,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015741,2021/03/15,Au Mine
120.096613182786,-33.5526254197641,S0015757,Contest (74),Contest,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015757,2021/03/15,Au Mine
120.089411185852,-33.5515454216977,S0015807,Kingston (74),Kingston,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015807,2021/03/15,Au Mine
120.087313176376,-33.5523054209977,S0015812,Lady Nina (74),Lady Nina,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015812,2021/03/15,Au Mine
120.105914178778,-33.5565474139169,S0015813,Last Chance (74),Last Chance,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015813,2021/03/15,Au Mine
120.094714185741,-33.5493374213593,S0015824,Mary (74),Mary,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015824,2021/03/15,Au Mine
120.089411185852,-33.5515454216977,S0015831,Mt Benson (74),Mt Benson,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015831,2021/03/15,Au Mine
120.093913180426,-33.5500354159127,S0015832,Mt Benson East (74),Mt Benson East,"Au, Cu",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015832,2021/03/15,Au Mine
120.094714185741,-33.5493374213593,S0015833,Mt Benson Extended 2 (74),Mt Benson Extended,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015833,2021/03/15,Au Mine
120.087313176376,-33.5523054209977,S0015837,Mt Benson Extended (74),Mt Benson Extended,"Au, Cu",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015837,2021/03/15,Au Mine
120.095812184252,-33.555665416968,S0015846,New Moon (74),New Moon,"Au, Cu",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03546,Historic Gold - Phillips River (74),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015846,2021/03/15,Au Mine
