X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Ag_SITES
123.617624597203,-28.0643841833796,S0020700,Khan,Khan,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0020700,2021/03/15,Ag Unclassified
123.941502465888,-28.6627753702865,S0020701,Muirfield,Muirfield,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0020701,2021/03/15,Ag Unclassified
123.951622472046,-28.6536063656924,S0020702,Carnoustie,Carnoustie,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0020702,2021/03/15,Ag Unclassified
123.754155071644,-28.3323253396374,S0237138,Morello - Wanderrie Camp,Morello - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237138,2021/03/15,Ag Unclassified
123.741813265085,-28.2840652789885,S0237139,Clapton - Wanderrie Camp,Clapton - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237139,2021/03/15,Ag Unclassified
123.789539008257,-28.3412413416605,S0237142,Knopfler - Wanderrie Camp,Knopfler - Wanderrie Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237142,2021/03/15,Ag Unclassified
123.881041443326,-28.6545623934417,S0237124,Cronos - Toppin Hill Camp,Cronos - Toppin Hill Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237124,2021/03/15,Ag Unclassified
123.704045592675,-28.2176302020826,S0237121,Tamerlane - Tamerlane Camp,Tamerlane - Tamerlane Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237121,2021/03/15,Ag Unclassified
123.893461479741,-28.5660903656389,S0237122,Toppin Hill - Toppin Hill Camp,Toppin Hill - Toppin Hill Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237122,2021/03/15,Ag Unclassified
123.628494560439,-27.9858001153647,S0237127,Brahman - Stock Route Camp,Brahman,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237127,2021/03/15,Ag Unclassified
123.845473134256,-28.4383263823794,S0237129,Smokebush North - Smokebush Camp,Smokebush North,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237129,2021/03/15,Ag Unclassified
123.70399540911,-28.2503972602677,S0237130,Elvis - Tamerlane Camp,Elvis - Tamerlane Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237130,2021/03/15,Ag Unclassified
123.718790435358,-28.2478742419581,S0237131,Beck - Tamerlane Camp,Beck - Tamerlane Camp,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J01858,Yamarna / Gold Road,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237131,2021/03/15,Ag Unclassified
