X,Y,fid,Ag_SITES,Au_SITES,Bi_SITES,COMMODITY_,Co_SITES,Cu_SITES,Dmd_SITES,EXTRACT_DA,Fe_SITES,Gr_SITES,Li_SITES,Mn_SITES,Nb_SITES,Ni_SITES,PGE_SITES,PROJ_CODE,PROJ_TITLE,Pb_SITES,Ptsh_SITES,REE_SITES,SHORT_NAME,SITE_CODE,SITE_COMMO,SITE_STAGE,SITE_SUB_T,SITE_TITLE,SITE_TYPE_,Sn_SITES,TARGET_COM,Ta_SITES,V_SITES,WEB_LINK,W_SITES,Zn_SITES,_source_file,_source_layer
118.009120817599,-25.7802260004665,158,Ag Unclassified,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J04131,Mt Maitland,,,,Jacia South,S0032530,"Au, Cu, Ag",Undeveloped,Shallow workings,Jacia South,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032530,,,au_site.gpkg,au_site
118.187070495239,-25.5928465628796,162,,Au Mine,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,,,,,,Dimble 2,S0032519,"Au, Cu",Shut,Unspecified,Dimble 2,Mine,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032519,,,au_site.gpkg,au_site
118.171290407256,-25.587956628692,163,,Au Mine,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J05714,West Bryah Basin,,,,Top Dimble 1,S0032518,"Au, Cu",Shut,Unspecified,Top Dimble 1,Mine,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032518,,,au_site.gpkg,au_site
118.400713626545,-25.4389979148103,170,Ag Unclassified,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J04153,Forrest,,,,Forrest,S0022749,"Au, Cu, Ag",Undeveloped,Drillhole,Forrest / RNI,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0022749,,,au_site.gpkg,au_site
118.426206626906,-25.4068010955609,171,Ag Unclassified,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J05441,Bryah Basin Gold,,,,Fortnum East,S0239368,"Au, Cu, Ag",Undeveloped,Outcrop,Fortnum East,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0239368,,,au_site.gpkg,au_site
117.691390057572,-24.9387659474357,173,,Au Occurrence,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,,,,,,Egerton West 1,S0023848,"Au, Cu",Undeveloped,Unspecified,Egerton West 1,Occurrence,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0023848,,,au_site.gpkg,au_site
116.890800185423,-24.887986377971,174,Ag Unclassified,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J03568,Mt James,,,,Clever Mary 2,S0031515,"Au, Ag, Cu",Undeveloped,Outcrop,Clever Mary 2,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031515,,,au_site.gpkg,au_site
116.335631863635,-24.5348292375519,175,,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,,,Pb Unclassified,,,Reid Well 2,S0031717,"Au, Pb, Cu, Ba",Undeveloped,Unspecified,Reid Well 2,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031717,,,au_site.gpkg,au_site
116.467945412702,-24.312912247603,176,Ag Unclassified,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J03837,Bassit Bore,,,,Harrier,S0229273,"Au, Cu, Ag",Undeveloped,Drillhole,Harrier - Bassit Bore,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0229273,,,au_site.gpkg,au_site
116.404330498635,-24.3110565332058,177,Ag Unclassified,Au Prospect,,PRECIOUS METAL,,Cu Unclassified,,2021/04/29 00:00:00,,,,,,,,J03837,Bassit Bore,,,,Beagle,S0032247,"Au, Cu, Ag",Undeveloped,Outcrop,Beagle - Bassit Bore,Prospect,,GOLD,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032247,,,au_site.gpkg,au_site
