X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Ag_SITES,Au_SITES,Bi_SITES,Co_SITES,Cu_SITES,Dmd_SITES,Fe_SITES,Gr_SITES,Li_SITES,Mn_SITES,Nb_SITES,Ni_SITES,Pb_SITES,PGE_SITES,Ptsh_SITES,REE_SITES,Sn_SITES,Ta_SITES,V_SITES,W_SITES,Zn_SITES
116.363539774863,-25.8983716404678,S0224971,Far West - Camel Hills,Far West,"Ni, Cr, Cu, Zn, Pt, Pd",Occurrence,Outcrop,Undeveloped,NICKEL,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224971,2021/04/29,,,,,Cu Unclassified,,,,,,,Ni Occurrence,,PGE Unclassified,,,,,,,Zn Unclassified
118.009120817599,-25.7802260004665,S0032530,Jacia South,Jacia South,"Au, Cu, Ag",Prospect,Shallow workings,Undeveloped,GOLD,PRECIOUS METAL,J04131,Mt Maitland,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032530,2021/04/29,Ag Unclassified,Au Prospect,,,Cu Unclassified,,,,,,,,,,,,,,,,
118.187070495239,-25.5928465628796,S0032519,Dimble 2,Dimble 2,"Au, Cu",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032519,2021/04/29,,Au Mine,,,Cu Unclassified,,,,,,,,,,,,,,,,
118.193350502088,-25.588456567546,S0032950,Dimble 1,Dimble 1,Cu,Mine,Unspecified,Shut,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032950,2021/04/29,,,,,Cu Mine,,,,,,,,,,,,,,,,
118.171290407256,-25.587956628692,S0032518,Top Dimble 1,Top Dimble 1,"Au, Cu",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J05714,West Bryah Basin,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032518,2021/04/29,,Au Mine,,,Cu Unclassified,,,,,,,,,,,,,,,,
117.639957332579,-25.5284015744876,S0231117,Kerba,Kerba,"Ni, Cu",Occurrence,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J04480,Livingstone Nickel-Copper,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231117,2021/04/29,,,,,Cu Unclassified,,,,,,,Ni Occurrence,,,,,,,,,
118.400713626545,-25.4389979148103,S0022749,Forrest / RNI,Forrest,"Au, Cu, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J04153,Forrest,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0022749,2021/04/29,Ag Unclassified,Au Prospect,,,Cu Unclassified,,,,,,,,,,,,,,,,
118.393120595736,-25.4138580075509,S0231368,Wodger,Wodger,"Cu, Au, Ag",Prospect,Outcrop,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04153,Forrest,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231368,2021/04/29,Ag Unclassified,Au Unclassified,,,Cu Prospect,,,,,,,,,,,,,,,,
118.426206626906,-25.4068010955609,S0239368,Fortnum East,Fortnum East,"Au, Cu, Ag",Prospect,Outcrop,Undeveloped,GOLD,PRECIOUS METAL,J05441,Bryah Basin Gold,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0239368,2021/04/29,Ag Unclassified,Au Prospect,,,Cu Unclassified,,,,,,,,,,,,,,,,
118.350010408516,-25.3726108819881,S0231369,Big Billy,Big Billy,"Cu, Au, Ag",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04153,Forrest,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231369,2021/04/29,Ag Unclassified,Au Unclassified,,,Cu Prospect,,,,,,,,,,,,,,,,
116.139670484225,-25.3509664576191,S0032242,Dalgety Downs 3,Dalgety Downs 3,"Cu, Pb, Au",Mine,Unspecified,Shut,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032242,2021/04/29,,Au Unclassified,,,Cu Mine,,,,,,,,Pb Mine,,,,,,,,
116.245480442839,-25.3078363359514,S0032240,Dalgety Downs,Dalgety Downs,"Cu, Au",Mine,Unspecified,Shut,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032240,2021/04/29,,Au Unclassified,,,Cu Mine,,,,,,,,,,,,,,,,
116.245013442837,-25.3073863360673,S0018436,Dalgety Downs / Richards (70),Dalgety Downs / Richards,Cu,Mine,Unspecified,Shut,COPPER - LEAD - ZINC,BASE METAL,J02534,Historic Copper - Lead - Zinc,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0018436,2021/04/29,,,,,Cu Mine,,,,,,,,,,,,,,,,
116.029820647611,-25.3065262880794,S0032211,Area 20,Area 20,Cu,Prospect,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032211,2021/04/29,,,,,Cu Prospect,,,,,,,,,,,,,,,,
116.225920445828,-25.3055663506851,S0032241,Dalgety Downs 2,Dalgety Downs 2,Cu,Mine,Unspecified,Shut,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032241,2021/04/29,,,,,Cu Mine,,,,,,,,,,,,,,,,
116.146390476508,-25.2576263650421,S0032243,Dalgety Downs 4,Dalgety Downs 4,Cu,Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032243,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,
118.321097867949,-25.1876506075808,S0237348,Mt Labouchere - Bryah,Mt Labouchere,"Mn, Ni, Cu, Co, Au, Ag",Occurrence,Outcrop,Undeveloped,MANGANESE ORE,STEEL ALLOY METAL,J05377,Bryah Basin Manganese JV,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237348,2021/04/29,Ag Unclassified,Au Unclassified,,Co Unclassified,Cu Unclassified,,,,,Mn Occurrence,,Ni Unclassified,,,,,,,,,
118.205210511838,-25.164066975055,S0032808,Milgun 1,Milgun 1,Cu,Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032808,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,
116.214809507214,-25.0845965151706,S0032288,Boora Bore,Boora Bore,Cu,Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032288,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,
116.272620142983,-25.0668367883668,S0032283,Three Well,Three Well,"Cu, Ag",Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032283,2021/04/29,Ag Unclassified,,,,Cu Occurrence,,,,,,,,,,,,,,,,
115.831550501872,-25.024466395014,S0032230,West Weedarrah,West Weedarrah,Cu,Prospect,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032230,2021/04/29,,,,,Cu Prospect,,,,,,,,,,,,,,,,
116.117388486064,-25.0095775325778,S0032228,Deep Well (WAMIN),Deep Well,Cu,Mine,Unspecified,Shut,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032228,2021/04/29,,,,,Cu Mine,,,,,,,,,,,,,,,,
116.66969633305,-24.9845864703271,S0229603,Rubbah Duckie,Rubbah Duckie,"Cu, Au, Pb, Zn, Ag",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04043,Glenburgh Base Metals,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0229603,2021/04/29,Ag Unclassified,Au Unclassified,,,Cu Prospect,,,,,,,,Pb Prospect,,,,,,,,Zn Prospect
116.706136350245,-24.9733404568504,S0225979,M&B Prospect,M&B Prospect,"Cu, Au",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04043,Glenburgh Base Metals,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225979,2021/04/29,,Au Unclassified,,,Cu Prospect,,,,,,,,,,,,,,,,
116.755942341351,-24.9664704074739,S0225980,Pink Elephant,Pink Elephant,"Cu, Au",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04043,Glenburgh Base Metals,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225980,2021/04/29,,Au Unclassified,,,Cu Prospect,,,,,,,,,,,,,,,,
115.765729539096,-24.964978385768,S0032229,Arthur River (Gascoyne),Arthur River,"Cu, U",Prospect,Costean/Trench,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J05776,Arthur River,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032229,2021/04/29,,,,,Cu Prospect,,,,,,,,,,,,,,,,
116.567840332764,-24.9530664946637,S0229602,New Find - Glenburgh,New Find,Cu,Occurrence,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04043,Glenburgh Base Metals,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0229602,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,
116.649461291801,-24.9436635372697,S0225474,GBO Prospect,GBO,"Cu, Au, U",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04043,Glenburgh Base Metals,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225474,2021/04/29,,Au Unclassified,,,Cu Prospect,,,,,,,,,,,,,,,,
116.699267289374,-24.9424265405988,S0225981,Green Dragon - Glenburgh,Green Dragon,"Cu, Au",Occurrence,Outcrop,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04043,Glenburgh Base Metals,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0225981,2021/04/29,,Au Unclassified,,,Cu Occurrence,,,,,,,,,,,,,,,,
117.691390057572,-24.9387659474357,S0023848,Egerton West 1,Egerton West 1,"Au, Cu",Occurrence,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0023848,2021/04/29,,Au Occurrence,,,Cu Unclassified,,,,,,,,,,,,,,,,
116.249149656232,-24.9353481991748,S0031873,Minindi,Minindi,Cu,Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J05777,Kingfisher,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031873,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,
116.194139232677,-24.9263084584074,S0031871,Kingfisher East,Kingfisher East,Cu,Prospect,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J05777,Kingfisher,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031871,2021/04/29,,,,,Cu Prospect,,,,,,,,,,,,,,,,
