X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Ag_SITES,Au_SITES,Bi_SITES,Co_SITES,Cu_SITES,Dmd_SITES,Fe_SITES,Gr_SITES,Li_SITES,Mn_SITES,Nb_SITES,Ni_SITES,Pb_SITES,PGE_SITES,Ptsh_SITES,REE_SITES,Sn_SITES,Ta_SITES,V_SITES,W_SITES,Zn_SITES
116.592940544741,-25.9381562515406,S0031740,Milly Milly no. 10,Milly Milly no. 10,Ni,Prospect,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031740,2021/04/29,,,,,,,,,,,,Ni Prospect,,,,,,,,,
116.624910688212,-25.9025763105543,S0031737,Milly Milly no. 12,Milly Milly no. 12,"Ni, Co",Prospect,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031737,2021/04/29,,,,Co Unclassified,,,,,,,,Ni Prospect,,,,,,,,,
116.363539774863,-25.8983716404678,S0224971,Far West - Camel Hills,Far West,"Ni, Cr, Cu, Zn, Pt, Pd",Occurrence,Outcrop,Undeveloped,NICKEL,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224971,2021/04/29,,,,,Cu Unclassified,,,,,,,Ni Occurrence,,PGE Unclassified,,,,,,,Zn Unclassified
116.589660688672,-25.7013865995522,S0031768,Innouendy,Innouendy,"Ni, Cr",Prospect,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J03963,Narryer,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031768,2021/04/29,,,,,,,,,,,,Ni Prospect,,,,,,,,,
117.485609875978,-25.6278763683655,S0032584,Bedaburra 2,Bedaburra 2,"Ni, Cr",Occurrence,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032584,2021/04/29,,,,,,,,,,,,Ni Occurrence,,,,,,,,,
117.480059823225,-25.6233263566352,S0032441,Bedaburra 1,Bedaburra 1,"Ni, Co",Prospect,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032441,2021/04/29,,,,Co Unclassified,,,,,,,,Ni Prospect,,,,,,,,,
116.748410542877,-25.6228166280243,S0031770,Erong 2,Erong 2,"Cr, Ni, Co",Occurrence,Unspecified,Undeveloped,CHROMITE - PLATINOIDS,STEEL ALLOY METAL,J03815,Hooley Well,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031770,2021/04/29,,,,Co Unclassified,,,,,,,,Ni Unclassified,,,,,,,,,
116.74612053654,-25.6196566249964,S0031513,Hooley Well,Hooley Well,"Ni, Cr, Co",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J03815,Hooley Well,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031513,2021/04/29,,,,Co Unclassified,,,,,,,,Ni Prospect,,,,,,,,,
116.752310518472,-25.6128866250124,S0031769,Erong 1,Erong 1,"Ni, Co",Occurrence,Unspecified,Undeveloped,NICKEL,STEEL ALLOY METAL,J03815,Hooley Well,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031769,2021/04/29,,,,Co Unclassified,,,,,,,,Ni Occurrence,,,,,,,,,
117.812570474666,-25.5921563509999,S0032539,Trillbar East,Trillbar East,"Ni, Cr",Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J04480,Livingstone Nickel-Copper,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032539,2021/04/29,,,,,,,,,,,,Ni Prospect,,,,,,,,,
117.639580334159,-25.5300265753038,S0032506,Trillbar West,Trillbar West,Ni,Prospect,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J04480,Livingstone Nickel-Copper,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032506,2021/04/29,,,,,,,,,,,,Ni Prospect,,,,,,,,,
117.639957332579,-25.5284015744876,S0231117,Kerba,Kerba,"Ni, Cu",Occurrence,Drillhole,Undeveloped,NICKEL,STEEL ALLOY METAL,J04480,Livingstone Nickel-Copper,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0231117,2021/04/29,,,,,Cu Unclassified,,,,,,,Ni Occurrence,,,,,,,,,
118.321097867949,-25.1876506075808,S0237348,Mt Labouchere - Bryah,Mt Labouchere,"Mn, Ni, Cu, Co, Au, Ag",Occurrence,Outcrop,Undeveloped,MANGANESE ORE,STEEL ALLOY METAL,J05377,Bryah Basin Manganese JV,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237348,2021/04/29,Ag Unclassified,Au Unclassified,,Co Unclassified,Cu Unclassified,,,,,Mn Occurrence,,Ni Unclassified,,,,,,,,,
118.218970704537,-24.3020192548458,S0023804,Glen Ross Gorge,Glen Ross Gorge,"Cu, Zn, Ni",Occurrence,Outcrop,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04464,Mt Vernon,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0023804,2021/04/29,,,,,Cu Occurrence,,,,,,,Ni Unclassified,,,,,,,,,Zn Occurrence
