X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Ag_SITES,Au_SITES,Bi_SITES,Co_SITES,Cu_SITES,Dmd_SITES,Fe_SITES,Gr_SITES,Li_SITES,Mn_SITES,Nb_SITES,Ni_SITES,Pb_SITES,PGE_SITES,Ptsh_SITES,REE_SITES,Sn_SITES,Ta_SITES,V_SITES,W_SITES,Zn_SITES
118.353865360736,-25.3351288605785,S0005755,Callies North,Callies North,"Au, Pb, Ag, Bi, W, Mo, Te",Mine,Openpit,Proposed,GOLD,PRECIOUS METAL,J00109,Fortnum,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0005755,2021/04/29,Ag Unclassified,Au Mine,Bi Unclassified,,,,,,,,,,Pb Unclassified,,,,,,,W Unclassified,
116.261749901165,-25.0806266561375,S0032195,Hectors Bore East,Hectors Bore East,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032195,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.184779015772,-24.9803476599038,S0031697,Polly Well,Polly Well,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031697,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.152318686873,-24.9736578511222,S0031695,Darawonga Well 1,Darawonga Well 1,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031695,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.110928708436,-24.9709875859869,S0031696,Darawonga Well 2,Darawonga Well 2,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031696,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.319220092435,-24.9272877938599,S0031691,Wabli Creek 8,Wabli Creek 8,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031691,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.320920067375,-24.9245878478109,S0031690,Wabli Creek 7,Wabli Creek 7,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031690,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.206239419209,-24.9082186834066,S0031689,Isle Bore 9,Isle Bore 9,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031689,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.21034948402,-24.900288781693,S0031681,Isle Bore 5,Isle Bore 5,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031681,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.202929471901,-24.8997987478413,S0031679,Isle Bore 1,Isle Bore 1,W,Prospect,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031679,2021/04/29,,,,,,,,,,,,,,,,,,,,W Prospect,
116.205409479079,-24.8994487641815,S0031682,Isle Bore 6,Isle Bore 6,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031682,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
116.201349472805,-24.8991587451844,S0031683,Isle Bore 7,Isle Bore 7,W,Occurrence,Unspecified,Undeveloped,TUNGSTEN - MOLYBDENUM,STEEL ALLOY METAL,J05731,Ashburton Tungsten,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0031683,2021/04/29,,,,,,,,,,,,,,,,,,,,W Occurrence,
