X,Y,id,NUMR_GITE,NOM_GITE,NUMR_CORPS,NOM_CORPS,IDNT_CORPS,CODE_ETAT,ETAT_CORPS,FUS_UTM,ESTN,NORD,NUMR_SNRC,DECV_AN,SUBST_PRIN,SUBST_P2,SUBST_P3,SUBST_P4,SUBST_P5,SUBST_P6,SUBST_P7,SUBST_P8,SUBST_P9,SUBST_P10,SUBST_P11,SUBST_P12,SUBST_SECN,SUBST_S2,SUBST_S3,SUBST_S4,SUBST_S5,SUBST_S6,SUBST_S7,SUBST_S8,SUBST_S9,SUBST_S10,SUBST_S11,SUBST_S12,CODE_TYPL,TYPL,CODE_LIT1,ROCHE_LIT1,CODE_LIT2,ROCHE_LIT2,CODE_LIT3,ROCHE_LIT3,CODE_LIT4,ROCHE_LIT4,CODE_LIT5,ROCHE_LIT5,CODE_LIT6,ROCHE_LIT6,CODE_LIT7,ROCHE_LIT7,CODE_LIT8,ROCHE_LIT8,MINR1,MINR2,MINR3,MINR4,MINR5,MINR6,MINR7,MINR8,MINR9,MINR10,MINR11,MINR12,MINR13,MINR14,MINR15,MINR16,MINR17,MINR18,MINR19,MINR20,MINR21,MINR22,MINR23,MINR24,MINR25,CODE_FORM,DESCR_FORM,CODE_DIST,DESCR_DIST,CODE_IMPR,DESCR_IMPR,CODE_TYPE,DESCR_TYPE,RESS_ESTIM,LIEN_FICHE,CODE_SYMBL
-74.5235482429999,50.5509847440001,0,232,Lac Chix,170,Lac Chix,1,I,"Showing, no work",18,533754,5600003,32J10,"1983",Au,,,,,,,,,,,,,,,,,,,,,,,,"1500",Lode gold,M1,,I1G,,,,,,,,,,,,,,PY,,,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,IN,Indeterminate,I,Indeterminate,N,,GMAU_I
-74.6378294689999,50.7438481600001,0,234,Occurence I (Projet Frotet-Troilus),172,Occurence I (Projet Frotet-Troilus),1,I,"Showing, no work",18,525553,5621403,32J10,"1985",Au,,,,,,,,,,,,,,,,,,,,,,,,"1520",Orogenic auriferous veins,R9,,I3A,,V1,,,,,,,,,,,,Au,PY,,,,,,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_I
-74.7605815079999,50.5802936170001,0,250,Moblan-Brigitte,189,Moblan-Brigitte,1,I,"Showing, no work",18,516951,5603181,32J10,"1996",Au,,,,,,,,,,,,Cu,Zn,Ag,Ni,,,,,,,,,"640",Sulfides Au associated with volcanic rocks,V1B,,V3B,,F1,,R1,,,,,,,,,,PY,PO,CP,SP,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,IN,Indeterminate,O,Stratification (deposit concordant with),N,,GMAU_I
-74.804873589,50.730847849,0,251,Christiane,190,Christiane,1,P,Worked deposit,18,513771,5619913,32J10,"1998",Au,Ag,,,,,,,,,,,Zn,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1A,,M8,,V3B,,V1,,,,,,,,,,QZ,CP,CC,PY,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.4666342599999,51.0111214020001,0,2079,"Troilus (Grid J3, Zone 87)",1192,"Mine Troilus (Grid J3, Zone 87)",1,MF,Closed mine,18,537417,5651197,32O01,"1987",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1900",Deposits associated with porphyry intrusions,I2J,,M16,,I1,,I1,,,,,,,,,,QZ,BO,CL,EP,PY,PO,CP,Au,TL,,,,,,,,,,,,,,,,,LI,Irregular lenticular,A,Disseminated to massive,MJ,Major,F,In fault or shear,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=A&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=1192,GMAU_MF
-74.4540430349999,51.0369797720001,0,2080,Troilus (Grid J5),1193,Troilus (Grid J5),1,P,Worked deposit,18,538279,5654079,32O01,"1988",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1900",Deposits associated with porphyry intrusions,R1,,V3,,I1,,,,,,,,,,,,QZ,CL,BO,CP,PO,PY,,,,,,,,,,,,,,,,,,,,UR,Regular cylindrical,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.4658573049999,51.0229160850001,0,2081,Troilus (Grid J4),1194,Troilus (Grid J4),1,P,Worked deposit,18,537462,5652509,32O01,"1987",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1900",Deposits associated with porphyry intrusions,R1,,V3,,,,,,,,,,,,,,QZ,CL,BO,PO,PY,CP,,,,,,,,,,,,,,,,,,,,LI,Irregular lenticular,D,Disseminated,MJ,Major,F,In fault or shear,O,https://sigeom.mines.gouv.qc.ca/signet/classes/I1103_index?format=COMPLET&type_reqt=U&mode=NOUVELLE&l=A&entt=GM&alias_table_crit=F4E02&mnen_crit=NUMR_INTER&oper_crit=EGAL&valr_crit=1194,GMAU_P
-74.4851955509999,51.0096849120001,0,2082,Troilus (Grid J2),1195,Troilus (Grid J2),1,P,Worked deposit,18,536116,5651028,32O01,"1989",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,R1,,I3A,,,,,,,,,,,,,,BO,QZ,SR,PO,PY,MG,CP,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.4230953459999,51.0597620280001,0,2083,Lac Allonge-NNE,1196,Lac Allonge-NNE,1,P,Worked deposit,18,540429,5656629,32O01,"1989",Au,Cu,,,,,,,,,,,Ag,,,,,,,,,,,,"1520",Orogenic auriferous veins,F1,,I3A,,R1,,V2J,,,,,,,,,,QZ,PY,CP,,,,,,,,,,,,,,,,,,,,,,,UR,Regular cylindrical,A,Disseminated to massive,MJ,Major,F,In fault or shear,N,,GMAU_P
-74.4928329499999,51.003414525,0,2084,SW 2000,1197,SW2000,1,P,Worked deposit,18,535585,5650327,32O01,"2000",Au,,,,,,,,,,,,,,,,,,,,,,,,"1520",Orogenic auriferous veins,R3,,I2J,,,,,,,,,,,,,,CP,PY,PO,,,,,,,,,,,,,,,,,,,,,,,LI,Irregular lenticular,D,Disseminated,MJ,Major,F,In fault or shear,N,,GMAU_P
