X,Y,id,NUMR_GITE,NOM_GITE,NUMR_CORPS,NOM_CORPS,IDNT_CORPS,CODE_ETAT,ETAT_CORPS,FUS_UTM,ESTN,NORD,NUMR_SNRC,DECV_AN,SUBST_PRIN,SUBST_P2,SUBST_P3,SUBST_P4,SUBST_P5,SUBST_P6,SUBST_P7,SUBST_P8,SUBST_P9,SUBST_P10,SUBST_P11,SUBST_P12,SUBST_SECN,SUBST_S2,SUBST_S3,SUBST_S4,SUBST_S5,SUBST_S6,SUBST_S7,SUBST_S8,SUBST_S9,SUBST_S10,SUBST_S11,SUBST_S12,CODE_TYPL,TYPL,CODE_LIT1,ROCHE_LIT1,CODE_LIT2,ROCHE_LIT2,CODE_LIT3,ROCHE_LIT3,CODE_LIT4,ROCHE_LIT4,CODE_LIT5,ROCHE_LIT5,CODE_LIT6,ROCHE_LIT6,CODE_LIT7,ROCHE_LIT7,CODE_LIT8,ROCHE_LIT8,MINR1,MINR2,MINR3,MINR4,MINR5,MINR6,MINR7,MINR8,MINR9,MINR10,MINR11,MINR12,MINR13,MINR14,MINR15,MINR16,MINR17,MINR18,MINR19,MINR20,MINR21,MINR22,MINR23,MINR24,MINR25,CODE_FORM,DESCR_FORM,CODE_DIST,DESCR_DIST,CODE_IMPR,DESCR_IMPR,CODE_TYPE,DESCR_TYPE,RESS_ESTIM,LIEN_FICHE,CODE_SYMBL
-74.5470992689999,50.707783991,0,233,Lac Frotet-Baie SE,171,Lac Frotet-Baie SE,1,I,"Showing, no work",18,531979,5617428,32J10,"1983",Cu,,,,,,,,,,,,Ag,,,,,,,,,,,,"630",Volcanic-associated massive sulphide base metals,V1,,V1,,,,,,,,,,,,,,CP,Ag,,,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,IN,Indeterminate,O,Stratification (deposit concordant with),N,,GMCU_I
-74.5101903489999,50.649449653,0,235,Selco,173,Selco,1,P,Worked deposit,18,534628,5610958,32J10,"1973",Cu,Zn,,,,,,,,,,,Ag,,,,,,,,,,,,"630",Volcanic-associated massive sulphide base metals,F1,,V1B,,I4B,,V3B,,,,,,,,,,SP,PO,CP,,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,IN,Indeterminate,O,Stratification (deposit concordant with),N,,GMCU_P
-74.8686085679999,50.7405774860001,0,236,Lac Coulombe (Muscocho),174,Lac Coulombe (Muscocho),1,P,Worked deposit,18,509271,5620985,32J10,"1962",Cu,Zn,,,,,,,,,,,Ag,,,,,,,,,,,,"630",Volcanic-associated massive sulphide base metals,F2,,S3,,S6A,,V1,,V3B,,V3B,,,,,,CP,SP,PO,PY,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,S,Semi-massive,IN,Indeterminate,O,Stratification (deposit concordant with),N,,GMCU_P
-74.8522109649999,50.749658674,0,238,Lac Coulombe-Est,176,Lac Coulombe-Est,1,P,Worked deposit,18,510426,5621997,32J10,"1972",Cu,,,,,,,,,,,,Ag,Zn,,,,,,,,,,,"630",Volcanic-associated massive sulphide base metals,R1,,S6D,,S2,,,,,,,,,,,,QZ,CP,SP,PY,PO,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,IN,Indeterminate,I,Indeterminate,N,,GMCU_P
-74.6226160089999,50.7480535770001,0,239,Lac Frotet-Sud,177,Lac Frotet-Sud,1,I,"Showing, no work",18,526624,5621876,32J10,"1979",Cu,,,,,,,,,,,,Ag,,,,,,,,,,,,"1700",Veins copper,R1A,,R3,,M8,,I3A,,V3B,,,,,,,,CB,QZ,CL,SR,CP,Ag,DP,PY,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,MJ,Major,F,In fault or shear,N,,GMCU_I
-74.4697506219999,51.039093397,0,2078,Lac Hameçon,1191,Lac Hameçon,1,P,Worked deposit,18,537176,5654306,32O01,"1975",Cu,Zn,,,,,,,,,,,Ag,Au,,,,,,,,,,,"630",Volcanic-associated massive sulphide base metals,V1,,V1,,,,,,,,,,,,,,BO,PO,AZ,CP,PY,SP,MV,,,,,,,,,,,,,,,,,,,IN,Unknown,D,Disseminated,IN,Indeterminate,I,Indeterminate,N,,GMCU_P
-74.5974507449999,50.946736876,0,3809,Rosario-Troïlus,3047,Rosario-Troïlus,1,P,Worked deposit,18,528279,5643979,32J15,"1962",Cu,Au,Ag,Zn,,,,,,,,,,,,,,,,,,,,,"630",Volcanic-associated massive sulphide base metals,F2,,V1,,S,,I3A,,,,,,,,,,QZ,SP,Au,Ag,PY,PO,CP,,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,IN,Indeterminate,I,Indeterminate,N,,GMCU_P
-74.5807718069999,50.8448807130001,0,3811,Zone M (Sondage W-4),3049,Zone M (Sondage W-4),1,P,Worked deposit,18,529515,5632659,32J15,"1958",Cu,Ag,,,,,,,,,,,,,,,,,,,,,,,"1700",Veins copper,R1A,,I3A,,V3F,,,,,,,,,,,,QZ,PY,Au,CP,PO,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,D,Disseminated,MJ,Major,V,Vein,N,,GMCU_P
-74.5551205509999,50.8328163250001,0,3813,Lac Troïlus-Sud,3051,Lac Troïlus-Sud,1,P,Worked deposit,18,531329,5631328,32J15,"1967",Cu,,,,,,,,,,,,Ag,Au,,,,,,,,,,,"1700",Veins copper,R1A,,I4I,,V2,,I3A,,,,,,,,,,ST,CP,QZ,Au,,,,,,,,,,,,,,,,,,,,,,TR,Regular tabular,A,Disseminated to massive,MJ,Major,F,In fault or shear,N,,GMCU_P
-74.5369903239999,50.8711989610001,0,3815,Lac Troïlus-Sud (sondage 51-11-3),3053,Lac Troïlus-Sud (sondage 51-11-3),1,P,Worked deposit,18,532579,5635604,32J15,"1972",Cu,Au,,,,,,,,,,,Ag,Zn,Ni,,,,,,,,,,"1700",Veins copper,R1,,V1D,,V2,,I3A,,,,,,,,,,CC,QZ,SP,PO,PD,PY,CP,Ag,Au,,,,,,,,,,,,,,,,,TI,Irregular tabular,D,Disseminated,MJ,Major,T,In fracture,N,,GMCU_P
