X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Au_SITES
117.920163521242,-33.5748935066032,S0000007,Dingo - Katanning,Dingo,"Au, Ag",Mine,Openpit,Shut,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000007,2021/03/15,Au Mine
117.908152519397,-33.5433565134905,S0000008,Jinkas,Jinkas,"Au, Ag",Mine,Openpit,Shut,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0000008,2021/03/15,Au Mine
117.895411515868,-33.5259765079634,S0005745,Jackson - Katanning,Jackson,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0005745,2021/03/15,Au Deposit
117.902010518828,-33.5373365067299,S0005746,Lone Tree - Katanning,Lone Tree,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0005746,2021/03/15,Au Deposit
117.903712515894,-33.541776510684,S0005747,White Dam - Katanning,White Dam,"Au, Ag",Deposit,Unspecified,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0005747,2021/03/15,Au Deposit
117.810255528505,-33.5131285101618,S0237503,Burong,Burong,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237503,2021/03/15,Au Prospect
117.904109514052,-33.5309675068796,S0237597,Jinkas North,Jinkas North,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237597,2021/03/15,Au Prospect
117.92974252004,-33.585515512013,S0237598,Lukin - Katanning,Lukin,"Au, Ag",Occurrence,Other,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237598,2021/03/15,Au Occurrence
117.906546519052,-33.5467605083962,S0236348,Devils Elbow - Katanning,Devils Elbow,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0236348,2021/03/15,Au Prospect
117.914527513598,-33.549795511892,S0236476,Jinkas South,Jinkas South,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0236476,2021/03/15,Au Prospect
117.89378951628,-33.5021305107371,S0232651,Roycroft - Katanning,Roycroft,"Au, Ag",Occurrence,Other,Undeveloped,GOLD,PRECIOUS METAL,J00007,Katanning Gold,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0232651,2021/03/15,Au Occurrence
