X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Ag_SITES,Au_SITES,Bi_SITES,Co_SITES,Cu_SITES,Dmd_SITES,Fe_SITES,Gr_SITES,Li_SITES,Mn_SITES,Nb_SITES,Ni_SITES,Pb_SITES,PGE_SITES,Ptsh_SITES,REE_SITES,Sn_SITES,Ta_SITES,V_SITES,W_SITES,Zn_SITES
118.023848004096,-24.042424369528,S0032031,Tchintaby Well,Tchintaby Well,"Zn, Ag, Cu",Occurrence,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04465,Andes,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032031,2021/04/29,Ag Unclassified,,,,Cu Occurrence,,,,,,,,,,,,,,,,Zn Occurrence
118.095230868071,-24.0405743184472,S0028488,Andes,Andes,"Zn, Ag, Cu",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04465,Andes,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0028488,2021/04/29,Ag Unclassified,,,,Cu Prospect,,,,,,,,,,,,,,,,Zn Prospect
118.042409913588,-24.0341363377447,S0028487,Andes West 1,Andes West 1,"Zn, Ag, Cu",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04465,Andes,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0028487,2021/04/29,Ag Unclassified,,,,Cu Prospect,,,,,,,,,,,,,,,,Zn Prospect
117.993140047313,-24.0191063798167,S0028485,Andes West 2,Andes West 2,"Zn, Ag, Cu",Prospect,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04465,Andes,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0028485,2021/04/29,Ag Unclassified,,,,Cu Prospect,,,,,,,,,,,,,,,,Zn Prospect
117.711670177446,-23.9929064863609,S0024388,Hughes (Zn Cu Pb),Hughes (Zn Cu Pb),"Zn, Cu, Pb",Occurrence,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0024388,2021/04/29,,,,,Cu Occurrence,,,,,,,,Pb Occurrence,,,,,,,,Zn Occurrence
117.911829989591,-23.9858363814584,S0024392,Pingandy Well SE,Pingandy Well SE,"Cu, Pb",Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0024392,2021/04/29,,,,,Cu Occurrence,,,,,,,,Pb Occurrence,,,,,,,,
117.627500243792,-23.9457665148967,S0024389,Warne Valley,Warne Valley,"Zn, Cu",Occurrence,Drillhole,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04466,Warne Valley,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0024389,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,Zn Occurrence
118.594607126166,-23.8926255236145,S0022153,Nobbys-Atlantis,Nobbys,"U, Cu, Pb",Prospect,Drillhole,Undeveloped,URANIUM,ENERGY,J03175,Atlantis - Ashburton,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0022153,2021/04/29,,,,,Cu Unclassified,,,,,,,,Pb Unclassified,,,,,,,,
117.508930293503,-23.8859665203046,S0024391,Border - Peebeezee,Border - Peebeezee,"Zn, Cu",Occurrence,Outcrop,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,J04466,Warne Valley,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0024391,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,Zn Occurrence
117.829060607743,-23.8512865656147,S0032008,Civilization Bore Cu,Civilization Bore Cu,Cu,Occurrence,Unspecified,Undeveloped,COPPER - LEAD - ZINC,BASE METAL,,,https://minedex.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0032008,2021/04/29,,,,,Cu Occurrence,,,,,,,,,,,,,,,,
