X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Au_SITES
119.571009152116,-31.6420574304708,S0016298,Margaret Rose (77),Margaret Rose,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016298,2021/03/15,Au Mine
119.569514158117,-31.6492954265084,S0016317,McIntosh (77),McIntosh,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016317,2021/03/15,Au Mine
119.569514158117,-31.6492954265084,S0016318,McIntosh Gold Mining Company Limited (77),McIntosh Gold Mining Company,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016318,2021/03/15,Au Mine
119.568209152687,-31.6494464290368,S0016400,Parkers Range Gold Mining NL (77),Parkers Range Gold Mining,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016400,2021/03/15,Au Mine
119.571208159902,-31.6415554252454,S0016414,Piemonte (77),Piemonte,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016414,2021/03/15,Au Mine
119.575312152053,-31.629476425752,S0016429,Queen of Sheba (77),Queen of Sheba,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016429,2021/03/15,Au Mine
119.576907154319,-31.6266364248649,S0016482,Searchlight North (77),Searchlight North,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016482,2021/03/15,Au Mine
119.576006155821,-31.6479474314227,S0015968,Centaur (77),Centaur,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015968,2021/03/15,Au Mine
119.571009158924,-31.6420454270967,S0015979,Cinderella (77),Cinderella,"Au, Ag",Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0015979,2021/03/15,Au Mine
119.569514151184,-31.6493074298804,S0016101,Gift (77),Gift,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016101,2021/03/15,Au Mine
119.569712156451,-31.6447964294026,S0016230,Kernel (77),Kernel,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016230,2021/03/15,Au Mine
119.566714154094,-31.6277674282609,S0016275,Lone Hand (77),Lone Hand,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016275,2021/03/15,Au Mine
119.567309155862,-31.6241664251489,S0016278,Lord Kitchener (77),Lord Kitchener,Au,Mine,Unspecified,Shut,GOLD,PRECIOUS METAL,J03547,Historic Gold - Yilgarn (77),https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0016278,2021/03/15,Au Mine
119.574130154053,-31.6306304288238,S0239222,Queen of Sheba Scrape and Detect,Queen of Sheba,Au,Mine,Scraping-Detecting area,Proposed,GOLD,PRECIOUS METAL,J05794,Queen of Sheba Prospecting,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0239222,2021/03/15,Au Mine
