X,Y,SITE_CODE,SITE_TITLE,SHORT_NAME,SITE_COMMO,SITE_TYPE_,SITE_SUB_T,SITE_STAGE,TARGET_COM,COMMODITY_,PROJ_CODE,PROJ_TITLE,WEB_LINK,EXTRACT_DA,Au_SITES,Longitude,Latitude
124.553911383256,-29.2460662710529,S0020197,Tropicana,Tropicana,"Au, Ag",Mine,Openpit,Operating,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0020197,2021/03/15,Au Mine,124.5539113000,-29.2460662000
124.54010938547,-29.2633452714106,S0022743,Havana,Havana,"Au, Ag",Mine,Openpit,Operating,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0022743,2021/03/15,Au Mine,124.5401093000,-29.2633452000
124.461511397298,-29.3282162732699,S0022509,Kamikaze,Kamikaze,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0022509,2021/03/15,Au Prospect,124.4615113000,-29.3282162000
124.549509385492,-29.3143362715261,S0022507,Rusty Nail,Rusty Nail,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0022507,2021/03/15,Au Prospect,124.5495093000,-29.3143362000
124.567038383639,-29.3320882713002,S0224444,Screaming Lizard,Screaming Lizard,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224444,2021/03/15,Au Prospect,124.5670383000,-29.3320882000
124.584393378689,-29.2208912703395,S0224442,Hat Trick,Hat Trick,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0224442,2021/03/15,Au Prospect,124.5843933000,-29.2208912000
124.563905381863,-29.2421592708437,S0237074,Boston Shaker Underground,Boston Shaker UG,"Au, Ag",Mine,Decline,Operating,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0237074,2021/03/15,Au Mine,124.5639053000,-29.2421592000
124.536129386183,-29.2713472715311,S0226096,Havana South,Havana South,"Au, Ag",Mine,Openpit,Operating,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226096,2021/03/15,Au Mine,124.5361293000,-29.2713472000
124.848177335345,-28.8178102632526,S0226097,Purple Haze - Tropicana,Purple Haze,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226097,2021/03/15,Au Prospect,124.8481773000,-28.8178102000
124.609375375544,-29.2249002698998,S0226106,Angels Kiss,Angels Kiss,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226106,2021/03/15,Au Prospect,124.6093753000,-29.2249002000
124.617292372733,-29.1504192693256,S0226107,Angel Eyes,Angel Eyes,"Au, Ag",Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226107,2021/03/15,Au Prospect,124.6172923000,-29.1504192000
124.437263399987,-29.3093882736269,S0226108,Ninja,Ninja,Au,Prospect,Drillhole,Undeveloped,GOLD,PRECIOUS METAL,J02723,Tropicana,https://minedexdev.dmirs.wa.gov.au/Web/common/jump.jsp?jumpType=SITE&id=S0226108,2021/03/15,Au Prospect,124.4372634000,-29.3093882000
